param,value,P0_exists,P1_exists,P2_exists,P3_exists,predicted_regime,theory_S,theory_x,theory_y,theory_z,sim_regime,sim_S,sim_x,sim_y,sim_z,agree
D1,0.1,True,True,True,True,P3,0.013993820717587369,2.700880265307294,0.28053367217280817,0.6083094387041321,P3,0.01165247456176057,3.2172722760399983,0.029398490574289973,0.18201933441398985,True
D1,0.2,True,True,True,True,P3,0.02085818097111769,1.866546060412809,0.28053367217280817,0.44276726441092285,P3,0.02142303718155134,1.8316575347633794,0.09644015802628415,0.467059487309129,True
D1,0.30000000000000004,True,True,True,True,P3,0.027285609550744994,1.4652301663384535,0.28053367217280817,0.33346310454235273,P3,0.027285609692315756,1.465230159354422,0.28053367482222896,0.33346310633031157,True
D1,0.4,True,True,True,True,P3,0.03365053515517502,1.2183906383839664,0.28053367217280817,0.2520313283082374,P3,0.03365053515565456,1.2183906384686796,0.28053367217280917,0.2520313283384288,True
D1,0.5,True,True,True,True,P3,0.040109710666001774,1.0475552948640543,0.28053367217280817,0.18754927191191495,P3,0.0401097106683565,1.0475552948201463,0.2805336721728119,0.18754927189436402,True
D1,0.6,True,True,True,True,P3,0.046754938612139085,0.9206717911663072,0.28053367217280817,0.13451069263280147,P3,0.04675493861087825,0.9206717911401578,0.280533672172809,0.13451069262136833,True
D1,0.7000000000000001,True,True,True,True,P3,0.05365250027534785,0.8218512004647289,0.28053367217280817,0.089713207927101,P3,0.053652500273452405,0.821851200482403,0.2805336721728073,0.08971320793541132,True
D1,0.8,True,True,True,True,P3,0.06085778383567231,0.7421958384750504,0.28053367217280817,0.05111754775040899,P3,0.06085778383472428,0.7421958384921795,0.2805336721728098,0.05111754775896555,True
D1,0.9,True,True,True,True,P3,0.06842206358851399,0.676282627101095,0.28053367217280817,0.01734014422046478,P3,0.06842206358793805,0.6762826271032198,0.2805336721728057,0.01734014422158012,True
D1,1.0,True,True,True,False,P2,0.0728744129773986,0.6437304075235111,0.2553109725315376,0.0,P2,0.07287441297317598,0.6437304075448593,0.2553109725008442,9.523792427744274e-12,True
D1,1.1,True,True,True,False,P2,0.0728744129773986,0.6437304075235111,0.19731724212401405,0.0,P2,0.07287441297629606,0.6437304075235137,0.19731724211517143,7.286003126534264e-33,True
D1,1.2000000000000002,True,True,True,False,P2,0.0728744129773986,0.6437304075235111,0.13932351171649046,0.0,P2,0.0728744129762959,0.6437304075235148,0.13932351170764662,1.83558257530176e-55,True
D1,1.3000000000000003,True,True,True,False,P2,0.0728744129773986,0.6437304075235111,0.08132978130896691,0.0,P2,0.07287441297629599,0.6437304075235143,0.08132978130012344,2.0921243130879903e-79,True
D1,1.4000000000000001,True,True,True,False,P2,0.0728744129773986,0.6437304075235111,0.023336050901443472,0.0,P2,0.07287447339512547,0.6437299931081757,0.023336521916306467,3.2002171954624906e-104,True
D1,1.5000000000000002,True,True,False,False,P1,0.0772727272727273,0.6151515151515151,0.0,0.0,P1,0.07727272859902345,0.6151515070411463,9.867838906058566e-09,3.376767493047953e-115,True
D1,1.6,True,True,False,False,P1,0.08500000000000002,0.571875,0.0,0.0,P1,0.0850000000000004,0.5718749999999982,1.94192274604639e-18,7.636403231796726e-116,True
D1,1.7000000000000002,True,True,False,False,P1,0.09322580645161292,0.5333965844402276,0.0,0.0,P1,0.09322580645161338,0.533396584440226,1.6363605809078074e-27,4.313329981070143e-116,True
D1,1.8000000000000003,True,True,False,False,P1,0.10200000000000004,0.49888888888888877,0.0,0.0,P1,0.10200000000000027,0.49888888888888816,6.064465693582765e-36,3.095001459253896e-116,True
D1,1.9000000000000001,True,True,False,False,P1,0.11137931034482763,0.46769509981851176,0.0,0.0,P1,0.11137931034482788,0.4676950998185111,8.448194669745731e-44,2.466342173042028e-116,True
D1,2.0,True,True,False,False,P1,0.12142857142857144,0.4392857142857143,0.0,0.0,P1,0.12142857142857173,0.43928571428571367,3.757900629920653e-51,2.0817440300135842e-116,True
D1,2.1,True,True,False,False,P1,0.13222222222222224,0.4132275132275132,0.0,0.0,P1,0.13222222222222257,0.4132275132275128,4.5941109621874005e-58,1.8212984262949726e-116,True
D1,2.2,True,True,False,False,P1,0.14384615384615387,0.38916083916083916,0.0,0.0,P1,0.1438461538461543,0.38916083916083866,1.3483273526888142e-64,1.6326364319818715e-116,True
D1,2.3000000000000003,True,True,False,False,P1,0.15640000000000007,0.3667826086956521,0.0,0.0,P1,0.15640000000000054,0.3667826086956516,8.406205312107096e-71,1.4892605122522308e-116,True
